user name	jhellstr																										
information																											
RGA info	QMG220 - 64-D2-41-02-38-BD																										
Active Filament	Filament 1 active																										
Ion Source Type	HIGH SENSITIVITY																										
Emission Current ( IS220-1)	2.000000																										
Protection current (IS220-1)	3.500000																										
RF Polarity	NEGATIVE																										
Ion reference (IS220-1.V01)	150.000000																										
Cathode ( IS220-1.V02)	-65.000000																										
Focus (IS220-1)	-11.000000																										
Field axis (IS220-1.V04)	-7.000000																										
Extraction (IS220-1.V05)	-35.000000																										
SEM STATE	SEM VOLTAGE																										
ON	1000.000000																										
EP1 OFFSET E-05	-0.00000000030521302152																										
EP1 OFFSET E-06	-0.00000000088511781238																										
EP1 OFFSET E-07	-0.00000000000305213038																										
EP1 OFFSET E-08	-0.00000000000885117847																										
EP1 OFFSET E-09	0.00000000000009156391																										
EP1 OFFSET E-10	-0.00000000000003967769																										
EP1 OFFSET E-11	0.00000000000004272983																										
EP1 OFFSET E-12	0.00000000000003616774																										
mass 2_time	mass 2_value	mass 4_time	mass 4_value	mass 14_time	mass 14_value	mass 15_time	mass 15_value	mass 16_time	mass 16_value	mass 18_time	mass 18_value	mass 26_time	mass 26_value	mass 28_time	mass 28_value	mass 39_time	mass 39_value	mass 40_time	mass 40_value	mass 41_time	mass 41_value	mass 44_time	mass 44_value	mass 83_time	mass 83_value	mass 84_time	mass 84_value
2018/08/21 13:49:47	0.00000000124912724608	2018/08/21 13:49:33	0.00000000004025752648	2018/08/21 13:49:34	0.00000000001111355539	2018/08/21 13:49:50	0.00000000001272270136	2018/08/21 13:49:52	0.00000000019149982988	2018/08/21 13:49:52	0.00000000012846962383	2018/08/21 13:49:54	0.00000000000223166364	2018/08/21 13:49:55	0.00000000017174711653	2018/08/21 13:49:56	0.00000000000044566634	2018/08/21 13:49:57	0.00000000000021757806	2018/08/21 13:49:58	0.00000000000027993406	2018/08/21 13:49:59	0.00000000003574668339	2018/08/21 13:50:00	0.00000000000004290931	2018/08/21 13:49:46	0.00000000000007231646
2018/08/21 13:50:02	0.00000000124583143801	2018/08/21 13:49:48	0.00000000004087935893	2018/08/21 13:49:49	0.00000000001129697117	2018/08/21 13:50:05	0.00000000001258700349	2018/08/21 13:50:06	0.00000000018966088422	2018/08/21 13:50:07	0.00000000012639934932	2018/08/21 13:50:08	0.00000000000217750470	2018/08/21 13:50:09	0.00000000017146244147	2018/08/21 13:50:10	0.00000000000044538513	2018/08/21 13:50:12	0.00000000000026085538	2018/08/21 13:50:13	0.00000000000027181271	2018/08/21 13:50:14	0.00000000003504513693	2018/08/21 13:50:15	0.00000000000005352020	2018/08/21 13:50:01	0.00000000000005335750
2018/08/21 13:50:17	0.00000000124426735582	2018/08/21 13:50:03	0.00000000003975158744	2018/08/21 13:50:04	0.00000000001065194200	2018/08/21 13:50:20	0.00000000001275158364	2018/08/21 13:50:21	0.00000000019063033097	2018/08/21 13:50:22	0.00000000012590108123	2018/08/21 13:50:23	0.00000000000215335844	2018/08/21 13:50:24	0.00000000016989475105	2018/08/21 13:50:25	0.00000000000046570218	2018/08/21 13:50:26	0.00000000000024397530	2018/08/21 13:50:27	0.00000000000023826741	2018/08/21 13:50:28	0.00000000003500962020	2018/08/21 13:50:29	0.00000000000005513218	2018/08/21 13:50:16	0.00000000000006232181
2018/08/21 13:50:32	0.00000000123899202009	2018/08/21 13:50:18	0.00000000004023182482	2018/08/21 13:50:19	0.00000000001088680795	2018/08/21 13:50:35	0.00000000001291745617	2018/08/21 13:50:36	0.00000000018903899279	2018/08/21 13:50:37	0.00000000012561972296	2018/08/21 13:50:38	0.00000000000216430823	2018/08/21 13:50:39	0.00000000016901735567	2018/08/21 13:50:40	0.00000000000042445453	2018/08/21 13:50:41	0.00000000000025228916	2018/08/21 13:50:42	0.00000000000031208415	2018/08/21 13:50:43	0.00000000003539466983	2018/08/21 13:50:44	0.00000000000005384234	2018/08/21 13:50:31	0.00000000000005590128
2018/08/21 13:50:46	0.00000000123924126516	2018/08/21 13:50:33	0.00000000004011901575	2018/08/21 13:50:34	0.00000000001066307893	2018/08/21 13:50:50	0.00000000001269326397	2018/08/21 13:50:51	0.00000000018752541187	2018/08/21 13:50:52	0.00000000012359370472	2018/08/21 13:50:53	0.00000000000219190117	2018/08/21 13:50:54	0.00000000016789991619	2018/08/21 13:50:55	0.00000000000044136282	2018/08/21 13:50:56	0.00000000000027107716	2018/08/21 13:50:57	0.00000000000031208415	2018/08/21 13:50:58	0.00000000003487486688	2018/08/21 13:50:59	0.00000000000004548573	2018/08/21 13:50:45	0.00000000000005378341
2018/08/21 13:51:01	0.00000000123084398229	2018/08/21 13:50:47	0.00000000004021040445	2018/08/21 13:50:49	0.00000000001107249015	2018/08/21 13:51:04	0.00000000001272929852	2018/08/21 13:51:05	0.00000000018689581827	2018/08/21 13:51:07	0.00000000012310297226	2018/08/21 13:51:08	0.00000000000221746341	2018/08/21 13:51:09	0.00000000016743915976	2018/08/21 13:51:10	0.00000000000045637149	2018/08/21 13:51:11	0.00000000000022042337	2018/08/21 13:51:12	0.00000000000025507935	2018/08/21 13:51:13	0.00000000003448160160	2018/08/21 13:51:14	0.00000000000004877378	2018/08/21 13:51:00	0.00000000000005078118
2018/08/21 13:51:16	0.00000000123178978129	2018/08/21 13:51:02	0.00000000003888746269	2018/08/21 13:51:03	0.00000000001111170878	2018/08/21 13:51:19	0.00000000001305085207	2018/08/21 13:51:20	0.00000000018640416988	2018/08/21 13:51:21	0.00000000012304318675	2018/08/21 13:51:23	0.00000000000213202004	2018/08/21 13:51:24	0.00000000016721558860	2018/08/21 13:51:25	0.00000000000046113173	2018/08/21 13:51:26	0.00000000000026298847	2018/08/21 13:51:27	0.00000000000030469120	2018/08/21 13:51:28	0.00000000003395837084	2018/08/21 13:51:29	0.00000000000004930044	2018/08/21 13:51:15	0.00000000000005210382
2018/08/21 13:51:31	0.00000000122789112211	2018/08/21 13:51:17	0.00000000003935815215	2018/08/21 13:51:18	0.00000000001072291908	2018/08/21 13:51:34	0.00000000001248231553	2018/08/21 13:51:35	0.00000000018546014724	2018/08/21 13:51:36	0.00000000011998690930	2018/08/21 13:51:37	0.00000000000202621036	2018/08/21 13:51:38	0.00000000016583649731	2018/08/21 13:51:40	0.00000000000042124656	2018/08/21 13:51:40	0.00000000000027781328	2018/08/21 13:51:41	0.00000000000031856554	2018/08/21 13:51:43	0.00000000003372535584	2018/08/21 13:51:44	0.00000000000005445184	2018/08/21 13:51:30	0.00000000000006928489
2018/08/21 13:51:46	0.00000000122588428297	2018/08/21 13:51:32	0.00000000003966000792	2018/08/21 13:51:33	0.00000000001133628087	2018/08/21 13:51:49	0.00000000001231686107	2018/08/21 13:51:50	0.00000000018461501772	2018/08/21 13:51:51	0.00000000012100843938	2018/08/21 13:51:52	0.00000000000206682089	2018/08/21 13:51:53	0.00000000016479052845	2018/08/21 13:51:54	0.00000000000044031448	2018/08/21 13:51:55	0.00000000000021577420	2018/08/21 13:51:56	0.00000000000025196360	2018/08/21 13:51:57	0.00000000003369785354	2018/08/21 13:51:58	0.00000000000005300011	2018/08/21 13:51:45	0.00000000000006782261
2018/08/21 13:52:01	0.00000000122269860903	2018/08/21 13:51:47	0.00000000003979764782	2018/08/21 13:51:48	0.00000000001103479374	2018/08/21 13:52:04	0.00000000001243397659	2018/08/21 13:52:05	0.00000000018432473603	2018/08/21 13:52:06	0.00000000011907659581	2018/08/21 13:52:07	0.00000000000213527178	2018/08/21 13:52:08	0.00000000016427835481	2018/08/21 13:52:09	0.00000000000040342661	2018/08/21 13:52:10	0.00000000000026503111	2018/08/21 13:52:11	0.00000000000027933759	2018/08/21 13:52:12	0.00000000003350865072	2018/08/21 13:52:13	0.00000000000005226469	2018/08/21 13:51:59	0.00000000000006440588
