57,scans,176,DataLength,,,,,,,,,
header,30,lines,,,,,,,,,,
Date,30/10/2018,Time,09:42:54,,,,,,,,,
ID,HAL RC RGA 101 #15453,Version,3,,,,,,,,,
Scans,11,,,,,,,,,,,
Scan ID,Mode,Input,Scanned,Start,Stop,Increment,Dwell,Settle,RS,RelSEM,,
Scan 1,RGA,SEM,mass,2,2,0.01,100.00%,100.00%,1,1,,
Scan 2,RGA,SEM,mass,4,4,0.01,100.00%,100.00%,1,1,,
Scan 3,RGA,SEM,mass,12,12,0.01,100.00%,100.00%,1,1,,
Scan 4,RGA,SEM,mass,14,14,0.01,100.00%,100.00%,1,1,,
Scan 5,RGA,SEM,mass,15,15,0.01,100.00%,100.00%,1,1,,
Scan 6,RGA,SEM,mass,16,16,0.01,100.00%,100.00%,1,1,,
Scan 7,RGA,SEM,mass,18,18,0.01,100.00%,100.00%,1,1,,
Scan 8,RGA,SEM,mass,28,28,0.01,100.00%,100.00%,1,1,,
Scan 9,RGA,SEM,mass,32,32,0.01,100.00%,100.00%,1,1,,
Scan 10,RGA,SEM,mass,40,40,0.01,100.00%,100.00%,1,1,,
Scan 11,RGA,SEM,mass,44,44,0.01,100.00%,100.00%,1,1,,
Environment,,,,,,,,,,,,
Global,RGA,,,,,,,,,,,
F1,1,"( 1 = on, 0 = off )",,,,,,,,,,
F2,0,"( 1 = on, 0 = off )",,,,,,,,,,
00:20:28,1228898,2.05E-08,5.76E-14,2.05E-11,8.42E-12,4.46E-11,6.23E-11,1.08E-11,4.47E-10,4.54E-14,2.59E-13,5.86E-11
00:21:07,1267615,2.06E-08,-8.09E-15,2.69E-12,2.18E-13,4.15E-13,2.85E-12,7.58E-12,8.85E-12,1.38E-14,6.31E-15,2.65E-12
00:21:46,1306333,6.45E-11,7.48E-15,1.27E-12,1.75E-13,2.76E-13,2.08E-12,7.37E-12,5.04E-12,1.20E-14,8.85E-15,2.18E-12
00:22:43,1363128,6.92E-11,-3.61E-16,1.06E-12,1.60E-13,2.44E-13,1.93E-12,7.23E-12,4.19E-12,1.69E-14,1.26E-14,1.99E-12
00:23:45,1425127,6.63E-11,1.32E-15,9.67E-13,1.19E-13,2.17E-13,1.88E-12,7.12E-12,3.94E-12,8.93E-15,1.43E-14,1.90E-12
00:24:46,1486836,5.99E-11,3.61E-15,9.18E-13,1.20E-13,2.16E-13,1.83E-12,7.13E-12,3.78E-12,9.49E-15,1.36E-14,1.90E-12
00:25:45,1545785,6.01E-11,3.39E-15,8.79E-13,1.25E-13,2.21E-13,1.80E-12,7.04E-12,3.61E-12,8.14E-15,8.46E-15,1.83E-12
00:26:44,1604734,5.95E-11,-7.90E-16,8.36E-13,1.37E-13,1.95E-13,1.75E-12,7.06E-12,3.51E-12,7.44E-15,5.16E-15,1.83E-12
00:27:45,1665684,5.98E-11,2.12E-15,8.69E-13,1.29E-13,1.82E-13,1.72E-12,7.06E-12,3.46E-12,4.97E-15,4.61E-16,1.83E-12
00:28:46,1726634,5.97E-11,2.80E-15,8.44E-13,1.13E-13,1.83E-13,1.74E-12,7.01E-12,3.38E-12,1.24E-14,5.92E-15,1.77E-12
00:29:47,1787584,6.02E-11,5.92E-17,7.99E-13,1.18E-13,2.21E-13,1.77E-12,6.98E-12,3.42E-12,7.72E-15,7.71E-15,1.78E-12
00:30:48,1848534,5.85E-11,7.07E-16,8.03E-13,1.25E-13,1.71E-13,1.74E-12,6.95E-12,3.27E-12,4.92E-15,3.92E-15,1.57E-12
00:31:49,1909484,2.66E-11,-4.01E-15,6.01E-13,1.17E-13,1.55E-13,1.45E-12,6.19E-12,2.60E-12,5.70E-15,1.29E-14,1.45E-12
00:32:50,1970434,2.45E-11,6.45E-15,6.27E-13,9.93E-14,1.72E-13,1.43E-12,5.86E-12,2.52E-12,9.70E-15,1.22E-14,1.43E-12
00:33:51,2031384,2.45E-11,2.10E-15,6.15E-13,9.49E-14,1.43E-13,1.40E-12,5.57E-12,2.56E-12,1.88E-14,9.20E-15,1.46E-12
00:34:52,2092334,2.53E-11,8.42E-15,6.39E-13,1.02E-13,1.30E-13,1.32E-12,5.45E-12,2.52E-12,-1.73E-15,2.08E-15,1.36E-12
00:35:53,2153284,2.48E-11,3.60E-15,6.19E-13,9.30E-14,1.43E-13,1.29E-12,5.32E-12,2.54E-12,6.63E-15,6.92E-15,1.41E-12
00:36:54,2214234,2.47E-11,5.58E-15,5.70E-13,8.36E-14,1.51E-13,1.28E-12,5.32E-12,2.48E-12,-2.37E-15,4.06E-15,1.43E-12
00:37:55,2275184,2.36E-11,1.85E-15,5.76E-13,6.40E-14,1.53E-13,1.27E-12,5.15E-12,2.53E-12,1.66E-14,4.39E-15,1.38E-12
00:38:59,2339884,2.46E-11,7.89E-15,5.94E-13,3.65E-14,1.58E-13,1.46E-12,5.37E-12,3.05E-12,8.64E-16,-1.42E-15,1.65E-12
00:40:04,2404584,5.73E-11,-8.88E-16,7.24E-13,6.79E-14,1.64E-13,1.51E-12,5.65E-12,3.06E-12,1.07E-14,5.00E-15,1.62E-12
00:41:09,2469284,5.79E-11,7.70E-15,7.58E-13,7.58E-14,1.34E-13,1.51E-12,5.92E-12,3.03E-12,1.62E-14,1.26E-14,1.62E-12
00:42:13,2533984,5.85E-11,1.73E-15,7.32E-13,7.39E-14,1.64E-13,1.49E-12,5.94E-12,2.98E-12,6.75E-15,5.65E-15,1.65E-12
00:43:18,2598684,5.74E-11,-2.22E-15,7.64E-13,6.56E-14,1.67E-13,1.56E-12,6.04E-12,2.98E-12,4.48E-15,3.64E-15,1.66E-12
00:44:23,2663384,5.77E-11,4.04E-15,7.28E-13,6.14E-14,1.46E-13,1.55E-12,6.19E-12,2.94E-12,4.50E-15,5.95E-15,1.63E-12
00:45:28,2728084,5.69E-11,1.80E-15,7.48E-13,6.89E-14,1.72E-13,1.53E-12,6.13E-12,2.93E-12,6.84E-15,5.46E-15,1.59E-12
