1993,scans,0,DataLength,,,,,,,
header,20,lines,,,,,,,,
Date,23/07/2018,Time,13:47:01,,,,,,,
ID,HAL RC RGA 101 #15508,Version,3,,,,,,,
Scans,1,,,,,,,,,
Scan ID,Mode,Input,Scanned,Start,Stop,Increment,Dwell,Settle,RS,RelSEM
Scan 1,RGA,SEM,mass,0.4,100,0.05,100.00%,100.00%,1,1
Environment,,,,,,,,,,
Global,RGA,,,,,,,,,
F1,1,"( 1 = on, 0 = off )",,,,,,,,
F2,0,"( 1 = on, 0 = off )",,,,,,,,
cage,3,V,,,,,,,,
delta-m,0,%,,,,,,,,
electron-energy,70,V,,,,,,,,
emission,1000,uA,,,,,,,,
focus,-90,V,,,,,,,,
mass,5.5,amu,,,,,,,,
mode-change-delay,1000,ms,,,,,,,,
multiplier,800,V,,,,,,,,
resolution,0,%,,,,,,,,
Data,1,,,,,,,,,
Cycle,Time,ms,mass amu,SEM Ie(Amps),,,,,,
1,00:00:28,28242,6.75,5.38E-13,,,,,,
1,00:00:28,28242,6.8,5.64E-13,,,,,,
1,00:00:28,28242,6.85,5.11E-13,,,,,,
1,00:00:28,28242,6.9,8.60E-13,,,,,,
1,00:00:28,28242,6.95,5.38E-13,,,,,,
1,00:00:28,28242,7,7.53E-13,,,,,,
1,00:00:28,28242,7.05,3.23E-13,,,,,,
1,00:00:28,28242,7.1,5.38E-13,,,,,,
1,00:00:28,28242,7.15,6.99E-13,,,,,,
1,00:00:28,28242,7.2,5.64E-13,,,,,,
1,00:00:28,28242,7.25,7.53E-13,,,,,,
1,00:00:28,28242,7.3,6.99E-13,,,,,,
1,00:00:28,28242,7.35,3.49E-13,,,,,,
1,00:00:28,28242,7.4,4.30E-13,,,,,,
1,00:00:28,28242,7.45,5.64E-13,,,,,,
1,00:00:28,28242,7.5,6.18E-13,,,,,,
1,00:00:28,28242,7.55,5.11E-13,,,,,,
1,00:00:28,28242,7.6,6.18E-13,,,,,,
1,00:00:28,28242,7.65,6.72E-13,,,,,,
1,00:00:28,28242,7.7,8.33E-13,,,,,,
1,00:00:28,28242,7.75,2.69E-13,,,,,,
1,00:00:28,28242,7.8,6.72E-13,,,,,,
1,00:00:28,28242,7.85,6.99E-13,,,,,,
1,00:00:28,28242,7.9,2.42E-13,,,,,,
1,00:00:28,28242,7.95,8.33E-13,,,,,,
1,00:00:28,28242,8,7.79E-13,,,,,,
1,00:00:28,28242,8.05,6.45E-13,,,,,,
1,00:00:28,28242,8.1,7.79E-13,,,,,,
1,00:00:28,28242,8.15,7.26E-13,,,,,,
1,00:00:28,28242,8.2,8.60E-13,,,,,,
1,00:00:28,28242,8.25,5.38E-13,,,,,,
1,00:00:28,28242,8.3,5.64E-13,,,,,,
1,00:00:28,28242,8.35,4.57E-13,,,,,,
1,00:00:28,28242,8.4,6.99E-13,,,,,,
1,00:00:28,28242,8.45,8.87E-13,,,,,,
1,00:00:28,28242,8.5,8.33E-13,,,,,,
1,00:00:28,28242,8.55,5.91E-13,,,,,,
1,00:00:28,28242,8.6,4.57E-13,,,,,,
1,00:00:28,28242,8.65,5.38E-13,,,,,,
1,00:00:28,28242,8.7,1.08E-12,,,,,,
1,00:00:28,28242,8.75,4.84E-13,,,,,,
1,00:00:28,28242,8.8,5.38E-13,,,,,,
1,00:00:28,28242,8.85,4.84E-13,,,,,,
1,00:00:28,28242,8.9,6.99E-13,,,,,,
1,00:00:28,28242,8.95,7.79E-13,,,,,,
1,00:00:28,28242,9,3.23E-13,,,,,,
1,00:00:28,28242,9.05,5.64E-13,,,,,,
1,00:00:28,28242,9.1,3.23E-13,,,,,,
1,00:00:28,28242,9.15,6.45E-13,,,,,,
1,00:00:28,28242,9.2,5.91E-13,,,,,,
1,00:00:28,28242,9.25,4.30E-13,,,,,,
1,00:00:28,28242,9.3,4.57E-13,,,,,,
1,00:00:28,28242,9.35,5.91E-13,,,,,,
1,00:00:28,28242,9.4,6.45E-13,,,,,,
1,00:00:28,28242,9.45,5.91E-13,,,,,,
1,00:00:28,28242,9.5,9.14E-13,,,,,,
1,00:00:28,28242,9.55,7.79E-13,,,,,,
1,00:00:28,28242,9.6,4.84E-13,,,,,,
1,00:00:28,28242,9.65,5.64E-13,,,,,,
1,00:00:28,28242,9.7,6.72E-13,,,,,,
1,00:00:28,28242,9.75,6.99E-13,,,,,,
1,00:00:28,28242,9.8,6.45E-13,,,,,,
1,00:00:28,28242,9.85,4.84E-13,,,,,,
1,00:00:28,28242,9.9,6.72E-13,,,,,,
1,00:00:28,28242,9.95,8.06E-13,,,,,,
1,00:00:28,28242,10,6.45E-13,,,,,,
1,00:00:28,28242,10.05,7.26E-13,,,,,,
1,00:00:28,28242,10.1,6.45E-13,,,,,,
1,00:00:28,28242,10.15,6.45E-13,,,,,,
1,00:00:28,28242,10.2,2.96E-13,,,,,,
1,00:00:28,28242,10.25,2.42E-13,,,,,,
1,00:00:28,28242,10.3,5.91E-13,,,,,,
1,00:00:28,28242,10.35,6.45E-13,,,,,,
1,00:00:28,28242,10.4,5.91E-13,,,,,,
1,00:00:28,28242,10.45,6.18E-13,,,,,,
1,00:00:28,28242,10.5,6.18E-13,,,,,,
1,00:00:28,28242,10.55,5.38E-13,,,,,,
1,00:00:28,28242,10.6,3.76E-13,,,,,,
1,00:00:28,28242,10.65,8.87E-13,,,,,,
1,00:00:28,28242,10.7,7.53E-13,,,,,,
1,00:00:28,28242,10.75,3.23E-13,,,,,,
1,00:00:28,28242,10.8,8.33E-13,,,,,,
1,00:00:28,28242,10.85,7.79E-13,,,,,,
1,00:00:28,28242,10.9,6.45E-13,,,,,,
1,00:00:28,28242,10.95,6.18E-13,,,,,,
1,00:00:28,28242,11,7.26E-13,,,,,,
1,00:00:28,28242,11.05,4.03E-13,,,,,,
1,00:00:28,28242,11.1,5.91E-13,,,,,,
1,00:00:28,28242,11.15,6.72E-13,,,,,,
1,00:00:28,28242,11.2,8.33E-13,,,,,,
1,00:00:28,28242,11.25,4.30E-13,,,,,,
1,00:00:28,28242,11.3,6.72E-13,,,,,,
1,00:00:28,28242,11.35,5.38E-13,,,,,,
1,00:00:28,28242,11.4,7.79E-13,,,,,,
1,00:00:28,28242,11.45,6.18E-13,,,,,,
1,00:00:28,28242,11.5,7.26E-13,,,,,,
1,00:00:28,28242,11.55,8.60E-13,,,,,,
1,00:00:28,28242,11.6,8.60E-13,,,,,,
1,00:00:28,28242,11.65,4.30E-13,,,,,,
1,00:00:28,28242,11.7,5.38E-13,,,,,,
1,00:00:28,28242,11.75,1.32E-12,,,,,,
1,00:00:28,28242,11.8,1.13E-12,,,,,,
1,00:00:28,28242,11.85,1.75E-12,,,,,,
1,00:00:28,28242,11.9,1.72E-12,,,,,,
1,00:00:28,28242,11.95,1.99E-12,,,,,,
1,00:00:28,28242,12,1.85E-12,,,,,,
1,00:00:28,28242,12.05,1.85E-12,,,,,,
1,00:00:28,28242,12.1,1.77E-12,,,,,,
1,00:00:28,28242,12.15,1.67E-12,,,,,,
1,00:00:28,28242,12.2,1.91E-12,,,,,,
1,00:00:28,28242,12.25,1.88E-12,,,,,,
