,scans,0,DataLength,,,,,,,
header,20,lines,,,,,,,,
Date,15/05/2018,Time,10:54:05,,,,,,,
ID,HAL RC RGA 101 #15508,Version,3,,,,,,,
Scans,1,,,,,,,,,
Scan ID,Mode,Input,Scanned,Start,Stop,Increment,Dwell,Settle,RS,RelSEM
Scan 1,RGA,SEM,mass,0.4,100,0.05,100.00%,100.00%,1,1
Environment,,,,,,,,,,
Global,RGA,,,,,,,,,
F1,1,"( 1 = on, 0 = off )",,,,,,,,
F2,0,"( 1 = on, 0 = off )",,,,,,,,
cage,3,V,,,,,,,,
delta-m,0,%,,,,,,,,
electron-energy,70,V,,,,,,,,
emission,1000,uA,,,,,,,,
focus,-90,V,,,,,,,,
mass,5.5,amu,,,,,,,,
mode-change-delay,1000,ms,,,,,,,,
multiplier,800,V,,,,,,,,
resolution,0,%,,,,,,,,
Data,1,,,,,,,,,
Cycle,Time,ms,mass amu,SEM Ie(Amps),,,,,,
1,00:00:28,28602,6.55,1.08E-13,,,,,,
1,00:00:28,28602,6.6,2.96E-13,,,,,,
1,00:00:28,28602,6.65,1.08E-13,,,,,,
1,00:00:28,28602,6.7,-5.38E-14,,,,,,
1,00:00:28,28602,6.75,0.00E+00,,,,,,
1,00:00:28,28602,6.8,-1.08E-13,,,,,,
1,00:00:28,28602,6.85,1.88E-13,,,,,,
1,00:00:28,28602,6.9,-1.61E-13,,,,,,
1,00:00:28,28602,6.95,4.30E-13,,,,,,
1,00:00:28,28602,7,1.88E-13,,,,,,
1,00:00:28,28602,7.05,8.06E-14,,,,,,
1,00:00:28,28602,7.1,4.30E-13,,,,,,
1,00:00:28,28602,7.15,2.15E-13,,,,,,
1,00:00:28,28602,7.2,-2.69E-14,,,,,,
1,00:00:28,28602,7.25,1.88E-13,,,,,,
1,00:00:28,28602,7.3,0.00E+00,,,,,,
1,00:00:28,28602,7.35,1.61E-13,,,,,,
1,00:00:28,28602,7.4,-5.38E-14,,,,,,
1,00:00:28,28602,7.45,-1.34E-13,,,,,,
1,00:00:28,28602,7.5,2.69E-14,,,,,,
1,00:00:28,28602,7.55,-8.06E-14,,,,,,
1,00:00:28,28602,7.6,1.61E-13,,,,,,
1,00:00:28,28602,7.65,-1.61E-13,,,,,,
1,00:00:28,28602,7.7,4.30E-13,,,,,,
1,00:00:28,28602,7.75,8.60E-13,,,,,,
1,00:00:28,28602,7.8,1.53E-12,,,,,,
1,00:00:28,28602,7.85,1.32E-12,,,,,,
1,00:00:28,28602,7.9,2.02E-12,,,,,,
1,00:00:28,28602,7.95,2.39E-12,,,,,,
1,00:00:28,28602,8,2.53E-12,,,,,,
1,00:00:28,28602,8.05,2.50E-12,,,,,,
1,00:00:28,28602,8.1,2.47E-12,,,,,,
1,00:00:28,28602,8.15,2.55E-12,,,,,,
1,00:00:28,28602,8.2,2.20E-12,,,,,,
1,00:00:28,28602,8.25,2.07E-12,,,,,,
1,00:00:28,28602,8.3,1.99E-12,,,,,,
1,00:00:28,28602,8.35,2.15E-12,,,,,,
1,00:00:28,28602,8.4,1.37E-12,,,,,,
1,00:00:28,28602,8.45,-1.08E-13,,,,,,
1,00:00:28,28602,8.5,0.00E+00,,,,,,
1,00:00:28,28602,8.55,1.08E-13,,,,,,
1,00:00:28,28602,8.6,4.30E-13,,,,,,
1,00:00:28,28602,8.65,0.00E+00,,,,,,
1,00:00:28,28602,8.7,0.00E+00,,,,,,
1,00:00:28,28602,8.75,-2.42E-13,,,,,,
1,00:00:28,28602,8.8,1.08E-13,,,,,,
1,00:00:28,28602,8.85,5.38E-14,,,,,,
1,00:00:28,28602,8.9,0.00E+00,,,,,,
1,00:00:28,28602,8.95,1.88E-13,,,,,,
1,00:00:28,28602,9,2.69E-13,,,,,,
1,00:00:28,28602,9.05,1.61E-13,,,,,,
1,00:00:28,28602,9.1,-2.69E-14,,,,,,
1,00:00:28,28602,9.15,-8.06E-14,,,,,,
1,00:00:28,28602,9.2,5.38E-14,,,,,,
1,00:00:28,28602,9.25,1.34E-13,,,,,,
1,00:00:28,28602,9.3,8.06E-14,,,,,,
1,00:00:28,28602,9.35,4.84E-13,,,,,,
1,00:00:28,28602,9.4,5.38E-14,,,,,,
1,00:00:28,28602,9.45,1.88E-13,,,,,,
1,00:00:28,28602,9.5,1.34E-13,,,,,,
1,00:00:28,28602,9.55,8.06E-14,,,,,,
1,00:00:28,28602,9.6,5.38E-14,,,,,,
1,00:00:28,28602,9.65,-2.69E-14,,,,,,
1,00:00:28,28602,9.7,-2.69E-14,,,,,,
1,00:00:28,28602,9.75,2.15E-13,,,,,,
1,00:00:28,28602,9.8,-5.38E-14,,,,,,
1,00:00:28,28602,9.85,1.88E-13,,,,,,
1,00:00:28,28602,9.9,3.23E-13,,,,,,
1,00:00:28,28602,9.95,-2.69E-14,,,,,,
1,00:00:28,28602,10,1.61E-13,,,,,,
1,00:00:28,28602,10.05,2.42E-13,,,,,,
1,00:00:28,28602,10.1,1.34E-13,,,,,,
1,00:00:28,28602,10.15,-2.69E-14,,,,,,
1,00:00:28,28602,10.2,0.00E+00,,,,,,
1,00:00:28,28602,10.25,4.30E-13,,,,,,
1,00:00:28,28602,10.3,-1.61E-13,,,,,,
1,00:00:28,28602,10.35,1.08E-13,,,,,,
1,00:00:28,28602,10.4,2.69E-13,,,,,,
1,00:00:28,28602,10.45,2.69E-13,,,,,,
1,00:00:28,28602,10.5,8.06E-14,,,,,,
1,00:00:28,28602,10.55,1.08E-13,,,,,,
1,00:00:28,28602,10.6,2.69E-14,,,,,,
1,00:00:28,28602,10.65,1.08E-13,,,,,,
1,00:00:28,28602,10.7,2.15E-13,,,,,,
1,00:00:28,28602,10.75,8.06E-14,,,,,,
1,00:00:28,28602,10.8,-1.61E-13,,,,,,
1,00:00:28,28602,10.85,5.91E-13,,,,,,
1,00:00:28,28602,10.9,-1.88E-13,,,,,,
1,00:00:28,28602,10.95,-2.69E-14,,,,,,
1,00:00:28,28602,11,2.96E-13,,,,,,
1,00:00:28,28602,11.05,-3.76E-13,,,,,,
1,00:00:28,28602,11.1,4.03E-13,,,,,,
1,00:00:28,28602,11.15,1.34E-13,,,,,,
1,00:00:28,28602,11.2,2.69E-13,,,,,,
1,00:00:28,28602,11.25,3.23E-13,,,,,,
1,00:00:28,28602,11.3,2.69E-14,,,,,,
1,00:00:28,28602,11.35,1.34E-13,,,,,,
1,00:00:28,28602,11.4,5.91E-13,,,,,,
1,00:00:28,28602,11.45,6.45E-13,,,,,,
1,00:00:28,28602,11.5,7.26E-13,,,,,,
1,00:00:28,28602,11.55,2.58E-12,,,,,,
1,00:00:28,28602,11.6,7.96E-12,,,,,,
1,00:00:28,28602,11.65,2.61E-11,,,,,,
1,00:00:28,28602,11.7,1.66E-10,,,,,,
1,00:00:28,28602,11.75,2.92E-10,,,,,,
1,00:00:28,28602,11.8,3.82E-10,,,,,,
1,00:00:28,28602,11.85,4.40E-10,,,,,,
1,00:00:28,28602,11.9,4.69E-10,,,,,,
1,00:00:28,28602,11.95,4.97E-10,,,,,,
1,00:00:28,28602,12,5.09E-10,,,,,,
1,00:00:28,28602,12.05,5.07E-10,,,,,,
1,00:00:28,28602,12.1,4.85E-10,,,,,,
1,00:00:28,28602,12.15,4.55E-10,,,,,,
1,00:00:28,28602,12.2,4.39E-10,,,,,,
1,00:00:28,28602,12.25,3.98E-10,,,,,,
1,00:00:28,28602,12.3,3.28E-10,,,,,,
1,00:00:28,28602,12.35,2.49E-10,,,,,,
1,00:00:28,28602,12.4,1.04E-10,,,,,,
1,00:00:28,28602,12.45,2.42E-13,,,,,,
1,00:00:28,28602,12.5,1.61E-13,,,,,,
1,00:00:28,28602,12.55,2.69E-13,,,,,,
1,00:00:28,28602,12.6,8.60E-13,,,,,,
1,00:00:28,28602,12.65,3.23E-12,,,,,,
1,00:00:28,28602,12.7,2.31E-11,,,,,,
1,00:00:28,28602,12.75,3.85E-11,,,,,,
1,00:00:28,28602,12.8,5.09E-11,,,,,,
1,00:00:28,28602,12.85,5.93E-11,,,,,,
1,00:00:28,28602,12.9,6.36E-11,,,,,,
1,00:00:28,28602,12.95,6.60E-11,,,,,,
1,00:00:28,28602,13,6.88E-11,,,,,,
1,00:00:28,28602,13.05,6.60E-11,,,,,,
1,00:00:28,28602,13.1,6.39E-11,,,,,,
1,00:00:28,28602,13.15,5.99E-11,,,,,,
1,00:00:28,28602,13.2,5.97E-11,,,,,,
1,00:00:28,28602,13.25,5.45E-11,,,,,,
1,00:00:28,28602,13.3,4.51E-11,,,,,,
1,00:00:28,28602,13.35,3.62E-11,,,,,,
1,00:00:28,28602,13.4,1.88E-11,,,,,,
1,00:00:28,28602,13.45,1.48E-12,,,,,,
1,00:00:28,28602,13.5,1.88E-12,,,,,,
1,00:00:28,28602,13.55,2.10E-12,,,,,,
1,00:00:28,28602,13.6,4.52E-12,,,,,,
1,00:00:28,28602,13.65,1.08E-11,,,,,,
1,00:00:28,28602,13.7,7.97E-11,,,,,,
1,00:00:28,28602,13.75,1.33E-10,,,,,,
1,00:00:28,28602,13.8,1.68E-10,,,,,,
1,00:00:28,28602,13.85,1.93E-10,,,,,,
1,00:00:28,28602,13.9,2.07E-10,,,,,,
1,00:00:28,28602,13.95,2.15E-10,,,,,,
1,00:00:28,28602,14,2.23E-10,,,,,,
1,00:00:28,28602,14.05,2.17E-10,,,,,,
1,00:00:28,28602,14.1,2.11E-10,,,,,,
1,00:00:28,28602,14.15,2.00E-10,,,,,,
1,00:00:28,28602,14.2,1.91E-10,,,,,,
1,00:00:28,28602,14.25,1.78E-10,,,,,,
1,00:00:28,28602,14.3,1.51E-10,,,,,,
1,00:00:28,28602,14.35,1.18E-10,,,,,,
1,00:00:28,28602,14.4,6.55E-11,,,,,,
1,00:00:28,28602,14.45,1.10E-12,,,,,,
1,00:00:28,28602,14.5,1.26E-12,,,,,,
1,00:00:28,28602,14.55,2.42E-12,,,,,,
1,00:00:28,28602,14.6,6.69E-12,,,,,,
1,00:00:28,28602,14.65,1.62E-11,,,,,,
1,00:00:28,28602,14.7,1.35E-10,,,,,,
1,00:00:28,28602,14.75,2.36E-10,,,,,,
1,00:00:28,28602,14.8,2.97E-10,,,,,,
1,00:00:28,28602,14.85,3.39E-10,,,,,,
1,00:00:28,28602,14.9,3.67E-10,,,,,,
1,00:00:28,28602,14.95,3.83E-10,,,,,,
1,00:00:28,28602,15,3.97E-10,,,,,,
1,00:00:28,28602,15.05,3.85E-10,,,,,,
1,00:00:28,28602,15.1,3.80E-10,,,,,,
1,00:00:28,28602,15.15,3.60E-10,,,,,,
1,00:00:28,28602,15.2,3.49E-10,,,,,,
1,00:00:28,28602,15.25,3.22E-10,,,,,,
1,00:00:28,28602,15.3,2.78E-10,,,,,,
1,00:00:28,28602,15.35,2.22E-10,,,,,,
1,00:00:28,28602,15.4,1.36E-10,,,,,,
1,00:00:28,28602,15.45,7.93E-12,,,,,,
1,00:00:28,28602,15.5,9.27E-12,,,,,,
1,00:00:28,28602,15.55,2.21E-11,,,,,,
1,00:00:28,28602,15.6,7.43E-11,,,,,,
1,00:00:28,28602,15.65,4.94E-10,,,,,,
1,00:00:28,28602,15.7,1.13E-09,,,,,,
1,00:00:28,28602,15.75,1.58E-09,,,,,,
1,00:00:28,28602,15.8,1.83E-09,,,,,,
1,00:00:28,28602,15.85,1.98E-09,,,,,,
1,00:00:28,28602,15.9,2.05E-09,,,,,,
1,00:00:28,28602,15.95,2.16E-09,,,,,,
1,00:00:28,28602,16,2.15E-09,,,,,,
1,00:00:28,28602,16.05,2.07E-09,,,,,,
1,00:00:28,28602,16.1,2.03E-09,,,,,,
1,00:00:28,28602,16.15,1.91E-09,,,,,,
1,00:00:28,28602,16.2,1.83E-09,,,,,,
1,00:00:28,28602,16.25,1.67E-09,,,,,,
1,00:00:28,28602,16.3,1.33E-09,,,,,,
1,00:00:28,28602,16.35,9.87E-10,,,,,,
1,00:00:28,28602,16.4,2.69E-10,,,,,,
1,00:00:28,28602,16.45,2.27E-11,,,,,,
1,00:00:28,28602,16.5,3.89E-11,,,,,,
1,00:00:28,28602,16.55,9.64E-11,,,,,,
1,00:00:28,28602,16.6,3.15E-10,,,,,,
1,00:00:28,28602,16.65,2.54E-09,,,,,,
1,00:00:28,28602,16.7,5.69E-09,,,,,,
1,00:00:28,28602,16.75,7.57E-09,,,,,,
1,00:00:28,28602,16.8,8.60E-09,,,,,,
1,00:00:28,28602,16.85,9.40E-09,,,,,,
1,00:00:28,28602,16.9,9.75E-09,,,,,,
1,00:00:28,28602,16.95,1.02E-08,,,,,,
1,00:00:28,28602,17,1.02E-08,,,,,,
1,00:00:28,28602,17.05,9.88E-09,,,,,,
1,00:00:28,28602,17.1,9.50E-09,,,,,,
1,00:00:28,28602,17.15,9.03E-09,,,,,,
1,00:00:28,28602,17.2,8.82E-09,,,,,,
1,00:00:28,28602,17.25,7.96E-09,,,,,,
1,00:00:28,28602,17.3,6.59E-09,,,,,,
1,00:00:28,28602,17.35,5.11E-09,,,,,,
1,00:00:28,28602,17.4,2.15E-09,,,,,,
1,00:00:28,28602,17.45,8.66E-11,,,,,,
1,00:00:28,28602,17.5,1.59E-10,,,,,,
1,00:00:28,28602,17.55,3.83E-10,,,,,,
1,00:00:28,28602,17.6,1.24E-09,,,,,,
1,00:00:28,28602,17.65,1.01E-08,,,,,,
1,00:00:28,28602,17.7,2.36E-08,,,,,,
1,00:00:28,28602,17.75,3.14E-08,,,,,,
1,00:00:28,28602,17.8,3.56E-08,,,,,,
1,00:00:28,28602,17.85,3.90E-08,,,,,,
1,00:00:28,28602,17.9,4.04E-08,,,,,,
1,00:00:28,28602,17.95,4.23E-08,,,,,,
1,00:00:28,28602,18,4.21E-08,,,,,,
1,00:00:28,28602,18.05,4.10E-08,,,,,,
1,00:00:28,28602,18.1,3.96E-08,,,,,,
1,00:00:28,28602,18.15,3.74E-08,,,,,,
1,00:00:28,28602,18.2,3.67E-08,,,,,,
1,00:00:28,28602,18.25,3.34E-08,,,,,,
1,00:00:28,28602,18.3,2.81E-08,,,,,,
1,00:00:28,28602,18.35,2.22E-08,,,,,,
1,00:00:28,28602,18.4,1.09E-08,,,,,,
1,00:00:28,28602,18.45,2.11E-11,,,,,,
1,00:00:28,28602,18.5,3.17E-12,,,,,,
1,00:00:28,28602,18.55,4.73E-12,,,,,,
1,00:00:28,28602,18.6,1.24E-11,,,,,,
1,00:00:28,28602,18.65,9.58E-11,,,,,,
1,00:00:28,28602,18.7,2.08E-10,,,,,,
